visitor_ab,visitor_sac_hits,visitor_sac_flies,visitor_hbp,visitor_walks,visitor_int_walks,visitor_,home_ab,home_sac_hits,home_sac_flies,home_hbp,home_walks,home_int_walks,visitor_pa,home_pa
29,0,0,0,5,0,0,30,0,0,1,4,0,34,35
30,1,1,0,9,0,0,33,0,0,0,6,0,41,39
28,0,1,1,0,0,0,34,0,1,0,5,0,30,40
32,0,2,1,5,0,0,30,0,0,0,2,0,40,32
44,0,0,0,1,0,0,32,0,1,0,1,0,45,34
43,0,2,1,3,0,0,41,0,0,0,6,1,49,48
40,0,0,0,6,0,0,33,0,1,0,4,0,46,38
38,1,0,1,9,0,0,35,0,1,2,3,0,49,41
38,0,0,1,1,0,1,30,0,0,1,2,0,41,33
37,0,0,0,4,0,0,27,0,0,1,5,0,41,33
30,0,0,0,3,0,0,32,0,0,0,2,0,33,34
31,0,0,0,4,1,0,29,0,0,0,4,1,36,34
31,0,0,0,0,0,0,30,0,0,1,1,0,31,32
32,0,0,0,3,0,0,29,0,0,0,3,0,35,32
39,0,0,0,2,1,0,32,0,0,0,6,0,42,38
34,0,0,0,1,0,0,31,0,0,0,9,0,35,40
29,0,0,0,4,0,0,32,0,0,0,1,0,33,33
35,0,0,1,3,0,0,29,1,1,0,2,0,39,33
37,0,0,1,1,0,0,28,0,0,1,7,0,39,36
39,0,1,0,8,0,0,34,0,0,1,3,0,48,38
32,0,0,0,4,0,0,31,0,0,0,1,0,36,32
34,0,0,0,2,0,0,30,0,0,0,3,0,36,33
32,0,0,0,0,0,0,30,0,1,1,5,0,32,37
38,0,1,0,6,0,0,36,0,0,0,3,0,45,39
31,0,0,1,3,0,0,32,0,1,0,8,0,35,41
29,0,0,1,10,0,0,33,0,0,0,2,0,40,35
35,0,0,0,2,0,0,30,0,0,0,3,0,37,33
38,0,0,1,4,0,0,37,0,0,2,2,0,43,41
37,0,0,0,4,0,0,36,0,0,2,3,0,41,41
31,0,1,0,2,0,0,30,0,0,0,5,0,34,35
39,0,0,2,3,0,0,37,0,0,0,3,0,44,40
36,0,2,0,6,0,0,30,0,0,0,3,0,44,33
32,0,0,0,3,0,0,29,0,0,0,2,0,35,31
34,0,0,0,2,0,0,36,0,0,2,7,0,36,45
