,players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm
0,Andres Gimenez,0.5,+550,0.5,−1100,Home Runs,CLE Guardians,DET Tigers
1,Andy Ibanez,0.5,+450,0.5,−800,Home Runs,CLE Guardians,DET Tigers
2,Bo Naylor,0.5,+380,0.5,−650,Home Runs,CLE Guardians,DET Tigers
3,Brayan Rocchio,0.5,+700,0.5,−1800,Home Runs,CLE Guardians,DET Tigers
4,Carson Kelly,0.5,+550,0.5,−1000,Home Runs,CLE Guardians,DET Tigers
5,Estevan Florial,0.5,+450,0.5,−800,Home Runs,CLE Guardians,DET Tigers
6,Jake Rogers,0.5,+360,0.5,−575,Home Runs,CLE Guardians,DET Tigers
7,Javier Baez,0.5,+450,0.5,−800,Home Runs,CLE Guardians,DET Tigers
8,Jose Ramirez,0.5,+320,0.5,−500,Home Runs,CLE Guardians,DET Tigers
9,Josh Naylor,0.5,+330,0.5,−525,Home Runs,CLE Guardians,DET Tigers
10,Kyle Manzardo,0.5,+360,0.5,−575,Home Runs,CLE Guardians,DET Tigers
11,Matt Vierling,0.5,+550,0.5,−1100,Home Runs,CLE Guardians,DET Tigers
12,Riley Greene,0.5,+500,0.5,−900,Home Runs,CLE Guardians,DET Tigers
13,Ryan Vilade,0.5,+700,0.5,−1800,Home Runs,CLE Guardians,DET Tigers
14,Spencer Torkelson,0.5,+295,0.5,−450,Home Runs,CLE Guardians,DET Tigers
15,Tyler Freeman,0.5,+650,0.5,−1400,Home Runs,CLE Guardians,DET Tigers
16,Wenceel Perez,0.5,+550,0.5,−1100,Home Runs,CLE Guardians,DET Tigers
17,Will Brennan,0.5,+600,0.5,−1200,Home Runs,CLE Guardians,DET Tigers
18,Andres Gimenez,,+1200,,−10000,1st Home Run,CLE Guardians,DET Tigers
19,Andy Ibanez,,+900,,−3000,1st Home Run,CLE Guardians,DET Tigers
20,Bo Naylor,,+1000,,−5000,1st Home Run,CLE Guardians,DET Tigers
21,Brayan Rocchio,,+1700,,,1st Home Run,CLE Guardians,DET Tigers
22,Carson Kelly,,+1300,,,1st Home Run,CLE Guardians,DET Tigers
23,Estevan Florial,,+1000,,−5000,1st Home Run,CLE Guardians,DET Tigers
24,Jake Rogers,,+850,,−2500,1st Home Run,CLE Guardians,DET Tigers
25,Javier Baez,,+1200,,−10000,1st Home Run,CLE Guardians,DET Tigers
26,Jose Ramirez,,+850,,−2500,1st Home Run,CLE Guardians,DET Tigers
27,Josh Naylor,,+850,,−2500,1st Home Run,CLE Guardians,DET Tigers
28,Kyle Manzardo,,+1000,,−5000,1st Home Run,CLE Guardians,DET Tigers
29,Matt Vierling,,+1100,,−10000,1st Home Run,CLE Guardians,DET Tigers
30,Riley Greene,,+1100,,−8000,1st Home Run,CLE Guardians,DET Tigers
31,Ryan Vilade,,+1500,,,1st Home Run,CLE Guardians,DET Tigers
32,Spencer Torkelson,,+750,,−2000,1st Home Run,CLE Guardians,DET Tigers
33,Tyler Freeman,,+1500,,,1st Home Run,CLE Guardians,DET Tigers
34,Wenceel Perez,,+1100,,−10000,1st Home Run,CLE Guardians,DET Tigers
35,Will Brennan,,+1300,,,1st Home Run,CLE Guardians,DET Tigers
36,Andres Gimenez,0.5,−260,0.5,+190,Hits,CLE Guardians,DET Tigers
37,Andy Ibanez,1.5,+165,1.5,−230,Hits,CLE Guardians,DET Tigers
38,Bo Naylor,0.5,−165,0.5,+125,Hits,CLE Guardians,DET Tigers
39,Brayan Rocchio,0.5,−190,0.5,+140,Hits,CLE Guardians,DET Tigers
40,Carson Kelly,0.5,−170,0.5,+130,Hits,CLE Guardians,DET Tigers
41,Estevan Florial,0.5,−195,0.5,+145,Hits,CLE Guardians,DET Tigers
42,Jake Rogers,0.5,−205,0.5,+150,Hits,CLE Guardians,DET Tigers
43,Javier Baez,0.5,−265,0.5,+190,Hits,CLE Guardians,DET Tigers
