,Unnamed: 0,players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm,hold,over_true_prob,under_true_prob
0,0,Andres Gimenez,0.5,9.5,0.5,1.04,Home Runs,CLE Guardians,DET Tigers,0.067,0.051,0.949
1,1,Bo Naylor,0.5,7.0,0.5,1.083,Home Runs,CLE Guardians,DET Tigers,0.066,0.093,0.907
2,2,Brayan Rocchio,0.5,12.0,0.5,1.017,Home Runs,CLE Guardians,DET Tigers,0.067,0.024,0.976
3,3,Carson Kelly,0.5,7.0,0.5,1.083,Home Runs,CLE Guardians,DET Tigers,0.066,0.093,0.907
4,4,Colt Keith,0.5,6.5,0.5,1.091,Home Runs,CLE Guardians,DET Tigers,0.071,0.101,0.899
5,5,Estevan Florial,0.5,8.5,0.5,1.056,Home Runs,CLE Guardians,DET Tigers,0.065,0.066,0.934
6,6,Javier Baez,0.5,6.0,0.5,1.1,Home Runs,CLE Guardians,DET Tigers,0.076,0.111,0.889
7,7,Jose Ramirez,0.5,6.0,0.5,1.1,Home Runs,CLE Guardians,DET Tigers,0.076,0.111,0.889
8,8,Josh Naylor,0.5,6.0,0.5,1.1,Home Runs,CLE Guardians,DET Tigers,0.076,0.111,0.889
9,9,Kerry Carpenter,0.5,5.75,0.5,1.111,Home Runs,CLE Guardians,DET Tigers,0.074,0.12,0.88
10,10,Mark Canha,0.5,6.0,0.5,1.111,Home Runs,CLE Guardians,DET Tigers,0.067,0.118,0.882
11,11,Matt Vierling,0.5,6.0,0.5,1.111,Home Runs,CLE Guardians,DET Tigers,0.067,0.118,0.882
12,12,Parker Meadows,0.5,7.0,0.5,1.083,Home Runs,CLE Guardians,DET Tigers,0.066,0.093,0.907
13,13,Riley Greene,0.5,5.25,0.5,1.133,Home Runs,CLE Guardians,DET Tigers,0.073,0.139,0.861
14,14,Spencer Torkelson,0.5,4.4,0.5,1.19,Home Runs,CLE Guardians,DET Tigers,0.067,0.182,0.818
15,15,Tyler Freeman,0.5,10.0,0.5,1.029,Home Runs,CLE Guardians,DET Tigers,0.072,0.039,0.961
16,16,Will Brennan,0.5,9.5,0.5,1.033,Home Runs,CLE Guardians,DET Tigers,0.073,0.044,0.956
17,17,Andres Gimenez,,,,,1st Home Run,CLE Guardians,DET Tigers,,,
18,18,Bo Naylor,,,,,1st Home Run,CLE Guardians,DET Tigers,,,
19,19,Brayan Rocchio,,,,,1st Home Run,CLE Guardians,DET Tigers,,,
20,20,Carson Kelly,,,,,1st Home Run,CLE Guardians,DET Tigers,,,
21,21,Colt Keith,,12.0,,1.012,1st Home Run,CLE Guardians,DET Tigers,0.071,0.019,0.981
22,22,Estevan Florial,,,,,1st Home Run,CLE Guardians,DET Tigers,,,
23,23,Javier Baez,,12.0,,1.012,1st Home Run,CLE Guardians,DET Tigers,0.071,0.019,0.981
24,24,Jose Ramirez,,12.0,,1.012,1st Home Run,CLE Guardians,DET Tigers,0.071,0.019,0.981
25,25,Josh Naylor,,11.0,,1.017,1st Home Run,CLE Guardians,DET Tigers,0.075,0.025,0.975
26,26,Kerry Carpenter,,9.5,,1.033,1st Home Run,CLE Guardians,DET Tigers,0.073,0.044,0.956
27,27,Mark Canha,,10.0,,1.033,1st Home Run,CLE Guardians,DET Tigers,0.068,0.044,0.956
28,28,Matt Vierling,,10.0,,1.033,1st Home Run,CLE Guardians,DET Tigers,0.068,0.044,0.956
29,29,Parker Meadows,,13.0,,1.01,1st Home Run,CLE Guardians,DET Tigers,0.067,0.016,0.984
30,30,Riley Greene,,8.5,,1.05,1st Home Run,CLE Guardians,DET Tigers,0.07,0.062,0.938
31,31,Spencer Torkelson,,8.0,,1.062,1st Home Run,CLE Guardians,DET Tigers,0.066,0.073,0.927
32,32,Tyler Freeman,,,,,1st Home Run,CLE Guardians,DET Tigers,,,
33,33,Will Brennan,,,,,1st Home Run,CLE Guardians,DET Tigers,,,
34,34,Andres Gimenez,0.5,1.435,0.5,2.65,Hits,CLE Guardians,DET Tigers,0.074,0.666,0.334
35,35,Bo Naylor,0.5,1.769,0.5,2.0,Hits,CLE Guardians,DET Tigers,0.065,0.534,0.466
36,36,Brayan Rocchio,0.5,1.645,0.5,2.15,Hits,CLE Guardians,DET Tigers,0.073,0.574,0.426
37,37,Carson Kelly,0.5,1.87,0.5,1.87,Hits,CLE Guardians,DET Tigers,0.07,0.5,0.5
38,38,Colt Keith,0.5,1.571,0.5,2.3,Hits,CLE Guardians,DET Tigers,0.071,0.604,0.396
39,39,Estevan Florial,0.5,1.667,0.5,2.15,Hits,CLE Guardians,DET Tigers,0.065,0.57,0.43
40,40,Javier Baez,0.5,1.606,0.5,2.2,Hits,CLE Guardians,DET Tigers,0.077,0.587,0.413
41,41,Jose Ramirez,0.5,1.377,0.5,2.9,Hits,CLE Guardians,DET Tigers,0.071,0.698,0.302
42,42,Josh Naylor,0.5,1.377,0.5,2.9,Hits,CLE Guardians,DET Tigers,0.071,0.698,0.302
43,43,Kerry Carpenter,0.5,1.5,0.5,2.45,Hits,CLE Guardians,DET Tigers,0.075,0.634,0.366
44,44,Mark Canha,0.5,1.513,0.5,2.45,Hits,CLE Guardians,DET Tigers,0.069,0.631,0.369
45,45,Matt Vierling,0.5,1.476,0.5,2.55,Hits,CLE Guardians,DET Tigers,0.07,0.648,0.352
46,46,Parker Meadows,0.5,1.952,0.5,1.8,Hits,CLE Guardians,DET Tigers,0.068,0.478,0.522
47,47,Riley Greene,0.5,1.488,0.5,2.5,Hits,CLE Guardians,DET Tigers,0.072,0.641,0.359
48,48,Spencer Torkelson,0.5,1.625,0.5,2.2,Hits,CLE Guardians,DET Tigers,0.07,0.583,0.417
49,49,Tyler Freeman,0.5,1.625,0.5,2.2,Hits,CLE Guardians,DET Tigers,0.07,0.583,0.417
50,50,Will Brennan,0.5,1.377,0.5,2.9,Hits,CLE Guardians,DET Tigers,0.071,0.698,0.302
51,51,Andres Gimenez,1.5,2.45,1.5,1.5,Total Bases,CLE Guardians,DET Tigers,0.075,0.366,0.634
52,52,Bo Naylor,0.5,1.769,0.5,2.0,Total Bases,CLE Guardians,DET Tigers,0.065,0.534,0.466
53,53,Brayan Rocchio,0.5,1.645,0.5,2.15,Total Bases,CLE Guardians,DET Tigers,0.073,0.574,0.426
54,54,Carson Kelly,0.5,1.87,0.5,1.87,Total Bases,CLE Guardians,DET Tigers,0.07,0.5,0.5
55,55,Colt Keith,0.5,1.571,0.5,2.3,Total Bases,CLE Guardians,DET Tigers,0.071,0.604,0.396
56,56,Estevan Florial,0.5,1.667,0.5,2.15,Total Bases,CLE Guardians,DET Tigers,0.065,0.57,0.43
57,57,Javier Baez,0.5,1.606,0.5,2.2,Total Bases,CLE Guardians,DET Tigers,0.077,0.587,0.413
58,58,Jose Ramirez,1.5,2.15,1.5,1.645,Total Bases,CLE Guardians,DET Tigers,0.073,0.426,0.574
59,59,Josh Naylor,1.5,2.2,1.5,1.625,Total Bases,CLE Guardians,DET Tigers,0.07,0.417,0.583
60,60,Kerry Carpenter,1.5,2.4,1.5,1.541,Total Bases,CLE Guardians,DET Tigers,0.066,0.38,0.62
61,61,Mark Canha,1.5,2.45,1.5,1.526,Total Bases,CLE Guardians,DET Tigers,0.063,0.372,0.628
62,62,Matt Vierling,1.5,2.3,1.5,1.571,Total Bases,CLE Guardians,DET Tigers,0.071,0.396,0.604
63,63,Parker Meadows,0.5,1.952,0.5,1.8,Total Bases,CLE Guardians,DET Tigers,0.068,0.478,0.522
64,64,Riley Greene,1.5,2.35,1.5,1.571,Total Bases,CLE Guardians,DET Tigers,0.062,0.391,0.609
65,65,Spencer Torkelson,0.5,1.625,0.5,2.2,Total Bases,CLE Guardians,DET Tigers,0.07,0.583,0.417
66,66,Tyler Freeman,0.5,1.625,0.5,2.2,Total Bases,CLE Guardians,DET Tigers,0.07,0.583,0.417
67,67,Will Brennan,1.5,2.35,1.5,1.556,Total Bases,CLE Guardians,DET Tigers,0.068,0.388,0.612
68,68,Andres Gimenez,0.5,3.3,0.5,1.312,RBIs,CLE Guardians,DET Tigers,0.065,0.263,0.737
69,69,Bo Naylor,0.5,3.2,0.5,1.323,RBIs,CLE Guardians,DET Tigers,0.069,0.27,0.73
70,70,Brayan Rocchio,0.5,4.0,0.5,1.222,RBIs,CLE Guardians,DET Tigers,0.068,0.205,0.795
71,71,Carson Kelly,0.5,3.4,0.5,1.286,RBIs,CLE Guardians,DET Tigers,0.072,0.249,0.751
72,72,Colt Keith,0.5,3.2,0.5,1.323,RBIs,CLE Guardians,DET Tigers,0.069,0.27,0.73
73,73,Estevan Florial,0.5,3.9,0.5,1.235,RBIs,CLE Guardians,DET Tigers,0.066,0.213,0.787
74,74,Javier Baez,0.5,3.05,0.5,1.345,RBIs,CLE Guardians,DET Tigers,0.071,0.284,0.716
75,75,Jose Ramirez,0.5,2.5,0.5,1.488,RBIs,CLE Guardians,DET Tigers,0.072,0.359,0.641
76,76,Josh Naylor,0.5,2.6,0.5,1.465,RBIs,CLE Guardians,DET Tigers,0.067,0.346,0.654
77,77,Kerry Carpenter,0.5,2.65,0.5,1.444,RBIs,CLE Guardians,DET Tigers,0.07,0.337,0.663
78,78,Mark Canha,0.5,3.1,0.5,1.339,RBIs,CLE Guardians,DET Tigers,0.069,0.28,0.72
79,79,Matt Vierling,0.5,2.85,0.5,1.392,RBIs,CLE Guardians,DET Tigers,0.069,0.31,0.69
80,80,Parker Meadows,0.5,3.7,0.5,1.25,RBIs,CLE Guardians,DET Tigers,0.07,0.225,0.775
81,81,Riley Greene,0.5,3.15,0.5,1.333,RBIs,CLE Guardians,DET Tigers,0.067,0.276,0.724
82,82,Spencer Torkelson,0.5,2.5,0.5,1.488,RBIs,CLE Guardians,DET Tigers,0.072,0.359,0.641
83,83,Tyler Freeman,0.5,3.75,0.5,1.25,RBIs,CLE Guardians,DET Tigers,0.067,0.223,0.777
84,84,Will Brennan,0.5,3.1,0.5,1.333,RBIs,CLE Guardians,DET Tigers,0.073,0.278,0.722
85,85,Andres Gimenez,0.5,2.25,0.5,1.606,Runs Scored,CLE Guardians,DET Tigers,0.067,0.408,0.592
86,86,Bo Naylor,0.5,2.7,0.5,1.426,Runs Scored,CLE Guardians,DET Tigers,0.072,0.328,0.672
87,87,Brayan Rocchio,0.5,2.9,0.5,1.377,Runs Scored,CLE Guardians,DET Tigers,0.071,0.302,0.698
88,88,Carson Kelly,0.5,2.9,0.5,1.385,Runs Scored,CLE Guardians,DET Tigers,0.067,0.305,0.695
89,89,Colt Keith,0.5,2.45,0.5,1.513,Runs Scored,CLE Guardians,DET Tigers,0.069,0.369,0.631
