,Unnamed: 0,players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm,hold,over_true_prob,under_true_prob
0,0,Adley Rutschman,0.5,5.75,0.5,1.111,Home Runs,BAL Orioles,BOS Red Sox,0.074,0.12,0.88
1,1,Anthony Santander,0.5,5.0,0.5,1.143,Home Runs,BAL Orioles,BOS Red Sox,0.075,0.147,0.853
2,2,Ceddanne Rafaela,0.5,8.0,0.5,1.056,Home Runs,BAL Orioles,BOS Red Sox,0.072,0.068,0.932
3,3,Cedric Mullins,0.5,7.5,0.5,1.062,Home Runs,BAL Orioles,BOS Red Sox,0.075,0.075,0.925
4,4,Colton Cowser,0.5,7.5,0.5,1.071,Home Runs,BAL Orioles,BOS Red Sox,0.067,0.082,0.918
5,5,Connor Wong,0.5,6.5,0.5,1.1,Home Runs,BAL Orioles,BOS Red Sox,0.063,0.107,0.893
6,6,Dominic Smith,0.5,10.0,0.5,1.029,Home Runs,BAL Orioles,BOS Red Sox,0.072,0.039,0.961
7,7,Garrett Cooper,0.5,6.0,0.5,1.1,Home Runs,BAL Orioles,BOS Red Sox,0.076,0.111,0.889
8,8,Gunnar Henderson,0.5,4.6,0.5,1.174,Home Runs,BAL Orioles,BOS Red Sox,0.069,0.17,0.83
9,9,Jarren Duran,0.5,9.5,0.5,1.033,Home Runs,BAL Orioles,BOS Red Sox,0.073,0.044,0.956
10,10,Jordan Westburg,0.5,7.0,0.5,1.083,Home Runs,BAL Orioles,BOS Red Sox,0.066,0.093,0.907
11,11,Jorge Mateo,0.5,9.5,0.5,1.04,Home Runs,BAL Orioles,BOS Red Sox,0.067,0.051,0.949
12,12,Rafael Devers,0.5,6.0,0.5,1.1,Home Runs,BAL Orioles,BOS Red Sox,0.076,0.111,0.889
13,13,Rob Refsnyder,0.5,8.0,0.5,1.056,Home Runs,BAL Orioles,BOS Red Sox,0.072,0.068,0.932
14,14,Romy Gonzalez,0.5,7.0,0.5,1.083,Home Runs,BAL Orioles,BOS Red Sox,0.066,0.093,0.907
15,15,Ryan Mountcastle,0.5,7.0,0.5,1.071,Home Runs,BAL Orioles,BOS Red Sox,0.076,0.084,0.916
16,16,Ryan O'Hearn,0.5,6.5,0.5,1.1,Home Runs,BAL Orioles,BOS Red Sox,0.063,0.107,0.893
17,17,Vaughn Grissom,0.5,10.5,0.5,1.029,Home Runs,BAL Orioles,BOS Red Sox,0.067,0.038,0.962
18,18,Adley Rutschman,1.5,2.75,1.5,1.417,Hits,BAL Orioles,BOS Red Sox,0.07,0.323,0.677
19,19,Anthony Santander,0.5,1.444,0.5,2.65,Hits,BAL Orioles,BOS Red Sox,0.07,0.663,0.337
20,20,Ceddanne Rafaela,0.5,1.513,0.5,2.45,Hits,BAL Orioles,BOS Red Sox,0.069,0.631,0.369
21,21,Cedric Mullins,0.5,1.556,0.5,2.35,Hits,BAL Orioles,BOS Red Sox,0.068,0.612,0.388
22,22,Colton Cowser,0.5,1.488,0.5,2.5,Hits,BAL Orioles,BOS Red Sox,0.072,0.641,0.359
23,23,Connor Wong,0.5,1.37,0.5,2.95,Hits,BAL Orioles,BOS Red Sox,0.069,0.703,0.297
24,24,Dominic Smith,0.5,1.541,0.5,2.35,Hits,BAL Orioles,BOS Red Sox,0.075,0.616,0.384
25,25,Garrett Cooper,0.5,1.345,0.5,3.05,Hits,BAL Orioles,BOS Red Sox,0.071,0.716,0.284
26,26,Gunnar Henderson,1.5,2.6,1.5,1.455,Hits,BAL Orioles,BOS Red Sox,0.072,0.343,0.657
27,27,Jarren Duran,1.5,2.8,1.5,1.4,Hits,BAL Orioles,BOS Red Sox,0.071,0.315,0.685
28,28,Jordan Westburg,1.5,2.95,1.5,1.37,Hits,BAL Orioles,BOS Red Sox,0.069,0.297,0.703
29,29,Jorge Mateo,0.5,1.588,0.5,2.25,Hits,BAL Orioles,BOS Red Sox,0.074,0.596,0.404
30,30,Rafael Devers,0.5,1.385,0.5,2.85,Hits,BAL Orioles,BOS Red Sox,0.073,0.693,0.307
31,31,Rob Refsnyder,1.5,2.9,1.5,1.377,Hits,BAL Orioles,BOS Red Sox,0.071,0.302,0.698
32,32,Romy Gonzalez,0.5,1.476,0.5,2.55,Hits,BAL Orioles,BOS Red Sox,0.07,0.648,0.352
33,33,Ryan Mountcastle,1.5,2.55,1.5,1.465,Hits,BAL Orioles,BOS Red Sox,0.075,0.349,0.651
34,34,Ryan O'Hearn,1.5,2.9,1.5,1.377,Hits,BAL Orioles,BOS Red Sox,0.071,0.302,0.698
35,35,Vaughn Grissom,0.5,1.408,0.5,2.75,Hits,BAL Orioles,BOS Red Sox,0.074,0.68,0.32
36,36,Adley Rutschman,1.5,1.952,1.5,1.8,Total Bases,BAL Orioles,BOS Red Sox,0.068,0.478,0.522
37,37,Anthony Santander,1.5,2.15,1.5,1.667,Total Bases,BAL Orioles,BOS Red Sox,0.065,0.43,0.57
38,38,Ceddanne Rafaela,0.5,1.513,0.5,2.45,Total Bases,BAL Orioles,BOS Red Sox,0.069,0.631,0.369
39,39,Cedric Mullins,0.5,1.556,0.5,2.35,Total Bases,BAL Orioles,BOS Red Sox,0.068,0.612,0.388
40,40,Colton Cowser,0.5,1.513,0.5,2.45,Total Bases,BAL Orioles,BOS Red Sox,0.069,0.631,0.369
41,41,Connor Wong,1.5,2.15,1.5,1.667,Total Bases,BAL Orioles,BOS Red Sox,0.065,0.43,0.57
42,42,Dominic Smith,0.5,1.541,0.5,2.35,Total Bases,BAL Orioles,BOS Red Sox,0.075,0.616,0.384
