players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm,date,hold,over_true_prob,under_true_prob
Brandon Drury,0.5,5.75,0.5,1.111,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.074,0.12,0.88
Brent Rooker,0.5,3.95,0.5,1.222,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.071,0.206,0.794
Brett Harris,0.5,8.0,0.5,1.056,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.072,0.068,0.932
JJ Bleday,0.5,4.6,0.5,1.167,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.075,0.166,0.834
Jo Adell,0.5,5.25,0.5,1.133,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.073,0.139,0.861
Kevin Pillar,0.5,5.25,0.5,1.133,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.073,0.139,0.861
Kyle McCann,0.5,5.5,0.5,1.125,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.071,0.131,0.869
Lawrence Butler,0.5,5.5,0.5,1.111,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.082,0.122,0.878
Logan O'Hoppe,0.5,5.5,0.5,1.111,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.082,0.122,0.878
Max Schuemann,0.5,9.0,0.5,1.04,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.073,0.052,0.948
Miguel Andujar,0.5,7.5,0.5,1.062,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.075,0.075,0.925
Miguel Sano,0.5,4.1,0.5,1.2,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.077,0.192,0.808
Nolan Schanuel,0.5,11.0,0.5,1.017,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.075,0.025,0.975
Taylor Ward,0.5,6.0,0.5,1.1,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.076,0.111,0.889
Tyler Soderstrom,0.5,4.8,0.5,1.154,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.075,0.156,0.844
Willie Calhoun,0.5,8.5,0.5,1.05,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.07,0.062,0.938
Zach Neto,0.5,5.75,0.5,1.111,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.074,0.12,0.88
Zack Gelof,0.5,6.5,0.5,1.083,Home Runs,OAK Athletics,LA Angels,2024-07-04,0.077,0.096,0.904
Brandon Drury,,12.0,,1.01,1st Home Run,OAK Athletics,LA Angels,2024-07-04,0.073,0.016,0.984
