,players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm
0,Abraham Toro,0.5,+650,0.5,−1400,Home Runs,OAK Athletics,TEX Rangers
1,Adolis Garcia,0.5,+260,0.5,−380,Home Runs,OAK Athletics,TEX Rangers
2,Brent Rooker,0.5,+400,0.5,−700,Home Runs,OAK Athletics,TEX Rangers
3,Brett Harris,0.5,+950,0.5,−4000,Home Runs,OAK Athletics,TEX Rangers
4,Corey Seager,0.5,+350,0.5,−550,Home Runs,OAK Athletics,TEX Rangers
5,Darell Hernaiz,0.5,+1000,0.5,−5000,Home Runs,OAK Athletics,TEX Rangers
6,Evan Carter,0.5,+650,0.5,−1600,Home Runs,OAK Athletics,TEX Rangers
7,Ezequiel Duran,0.5,+750,0.5,−1800,Home Runs,OAK Athletics,TEX Rangers
8,JJ Bleday,0.5,+550,0.5,−1100,Home Runs,OAK Athletics,TEX Rangers
9,Jonah Heim,0.5,+550,0.5,−1100,Home Runs,OAK Athletics,TEX Rangers
10,Josh Smith,0.5,+650,0.5,−1600,Home Runs,OAK Athletics,TEX Rangers
11,Lawrence Butler,0.5,+650,0.5,−1400,Home Runs,OAK Athletics,TEX Rangers
12,Leody Taveras,0.5,+900,0.5,−3000,Home Runs,OAK Athletics,TEX Rangers
13,Marcus Semien,0.5,+500,0.5,−1000,Home Runs,OAK Athletics,TEX Rangers
14,Nathaniel Lowe,0.5,+550,0.5,−1100,Home Runs,OAK Athletics,TEX Rangers
15,Seth Brown,0.5,+500,0.5,−1000,Home Runs,OAK Athletics,TEX Rangers
16,Shea Langeliers,0.5,+425,0.5,−700,Home Runs,OAK Athletics,TEX Rangers
17,Tyler Nevin,0.5,+850,0.5,−2500,Home Runs,OAK Athletics,TEX Rangers
18,Abraham Toro,0.5,−185,0.5,+140,Hits,OAK Athletics,TEX Rangers
19,Adolis Garcia,1.5,+200,1.5,−275,Hits,OAK Athletics,TEX Rangers
20,Brent Rooker,0.5,−155,0.5,+120,Hits,OAK Athletics,TEX Rangers
21,Brett Harris,0.5,−130,0.5,−105,Hits,OAK Athletics,TEX Rangers
22,Corey Seager,1.5,+170,1.5,−235,Hits,OAK Athletics,TEX Rangers
23,Darell Hernaiz,0.5,−140,0.5,+105,Hits,OAK Athletics,TEX Rangers
24,Evan Carter,0.5,−185,0.5,+135,Hits,OAK Athletics,TEX Rangers
25,Ezequiel Duran,0.5,−210,0.5,+155,Hits,OAK Athletics,TEX Rangers
26,JJ Bleday,0.5,−150,0.5,+115,Hits,OAK Athletics,TEX Rangers
27,Jonah Heim,0.5,−215,0.5,+160,Hits,OAK Athletics,TEX Rangers
28,Josh Smith,0.5,−190,0.5,+140,Hits,OAK Athletics,TEX Rangers
29,Lawrence Butler,0.5,−125,0.5,−110,Hits,OAK Athletics,TEX Rangers
30,Leody Taveras,0.5,−205,0.5,+150,Hits,OAK Athletics,TEX Rangers
31,Marcus Semien,1.5,+170,1.5,−230,Hits,OAK Athletics,TEX Rangers
32,Nathaniel Lowe,0.5,−270,0.5,+195,Hits,OAK Athletics,TEX Rangers
33,Seth Brown,0.5,−170,0.5,+130,Hits,OAK Athletics,TEX Rangers
34,Shea Langeliers,0.5,−160,0.5,+120,Hits,OAK Athletics,TEX Rangers
35,Tyler Nevin,0.5,−205,0.5,+150,Hits,OAK Athletics,TEX Rangers
36,Abraham Toro,0.5,−185,0.5,+140,Total Bases,OAK Athletics,TEX Rangers
37,Adolis Garcia,1.5,−110,1.5,−120,Total Bases,OAK Athletics,TEX Rangers
38,Brent Rooker,0.5,−155,0.5,+120,Total Bases,OAK Athletics,TEX Rangers
39,Brett Harris,0.5,−130,0.5,−105,Total Bases,OAK Athletics,TEX Rangers
40,Corey Seager,1.5,−115,1.5,−115,Total Bases,OAK Athletics,TEX Rangers
41,Darell Hernaiz,0.5,−140,0.5,+105,Total Bases,OAK Athletics,TEX Rangers
42,Evan Carter,0.5,−185,0.5,+135,Total Bases,OAK Athletics,TEX Rangers
43,Ezequiel Duran,1.5,+145,1.5,−195,Total Bases,OAK Athletics,TEX Rangers
44,JJ Bleday,0.5,−150,0.5,+115,Total Bases,OAK Athletics,TEX Rangers
45,Jonah Heim,1.5,+135,1.5,−180,Total Bases,OAK Athletics,TEX Rangers
46,Josh Smith,0.5,−190,0.5,+140,Total Bases,OAK Athletics,TEX Rangers
47,Lawrence Butler,0.5,−125,0.5,−110,Total Bases,OAK Athletics,TEX Rangers
48,Leody Taveras,1.5,+150,1.5,−205,Total Bases,OAK Athletics,TEX Rangers
49,Marcus Semien,1.5,−110,1.5,−120,Total Bases,OAK Athletics,TEX Rangers
50,Nathaniel Lowe,1.5,+120,1.5,−160,Total Bases,OAK Athletics,TEX Rangers
51,Seth Brown,0.5,−170,0.5,+130,Total Bases,OAK Athletics,TEX Rangers
52,Shea Langeliers,0.5,−160,0.5,+120,Total Bases,OAK Athletics,TEX Rangers
53,Tyler Nevin,0.5,−205,0.5,+150,Total Bases,OAK Athletics,TEX Rangers
54,Abraham Toro,0.5,+260,0.5,−380,RBIs,OAK Athletics,TEX Rangers
55,Adolis Garcia,0.5,+110,0.5,−150,RBIs,OAK Athletics,TEX Rangers
56,Brent Rooker,0.5,+175,0.5,−240,RBIs,OAK Athletics,TEX Rangers
57,Brett Harris,0.5,+300,0.5,−450,RBIs,OAK Athletics,TEX Rangers
58,Corey Seager,0.5,+140,0.5,−190,RBIs,OAK Athletics,TEX Rangers
59,Darell Hernaiz,0.5,+295,0.5,−450,RBIs,OAK Athletics,TEX Rangers
60,Evan Carter,0.5,+210,0.5,−300,RBIs,OAK Athletics,TEX Rangers
61,Ezequiel Duran,0.5,+210,0.5,−295,RBIs,OAK Athletics,TEX Rangers
62,JJ Bleday,0.5,+215,0.5,−300,RBIs,OAK Athletics,TEX Rangers
63,Jonah Heim,0.5,+175,0.5,−240,RBIs,OAK Athletics,TEX Rangers
64,Josh Smith,0.5,+190,0.5,−265,RBIs,OAK Athletics,TEX Rangers
65,Lawrence Butler,0.5,+260,0.5,−380,RBIs,OAK Athletics,TEX Rangers
66,Leody Taveras,0.5,+215,0.5,−300,RBIs,OAK Athletics,TEX Rangers
67,Marcus Semien,0.5,+165,0.5,−225,RBIs,OAK Athletics,TEX Rangers
68,Nathaniel Lowe,0.5,+180,0.5,−245,RBIs,OAK Athletics,TEX Rangers
69,Seth Brown,0.5,+190,0.5,−265,RBIs,OAK Athletics,TEX Rangers
70,Shea Langeliers,0.5,+185,0.5,−260,RBIs,OAK Athletics,TEX Rangers
71,Tyler Nevin,0.5,+255,0.5,−370,RBIs,OAK Athletics,TEX Rangers
72,Abraham Toro,0.5,+130,0.5,−175,Runs Scored,OAK Athletics,TEX Rangers
73,Adolis Garcia,0.5,−110,0.5,−120,Runs Scored,OAK Athletics,TEX Rangers
74,Brent Rooker,0.5,+135,0.5,−180,Runs Scored,OAK Athletics,TEX Rangers
75,Brett Harris,0.5,+225,0.5,−320,Runs Scored,OAK Athletics,TEX Rangers
76,Corey Seager,0.5,−115,0.5,−115,Runs Scored,OAK Athletics,TEX Rangers
77,Darell Hernaiz,0.5,+220,0.5,−310,Runs Scored,OAK Athletics,TEX Rangers
78,Evan Carter,0.5,+130,0.5,−175,Runs Scored,OAK Athletics,TEX Rangers
79,Ezequiel Duran,0.5,+150,0.5,−205,Runs Scored,OAK Athletics,TEX Rangers
80,JJ Bleday,0.5,+130,0.5,−175,Runs Scored,OAK Athletics,TEX Rangers
81,Jonah Heim,0.5,+140,0.5,−185,Runs Scored,OAK Athletics,TEX Rangers
82,Josh Smith,0.5,+140,0.5,−185,Runs Scored,OAK Athletics,TEX Rangers
83,Lawrence Butler,0.5,+190,0.5,−265,Runs Scored,OAK Athletics,TEX Rangers
84,Leody Taveras,0.5,+150,0.5,−200,Runs Scored,OAK Athletics,TEX Rangers
85,Marcus Semien,0.5,−110,0.5,−120,Runs Scored,OAK Athletics,TEX Rangers
86,Nathaniel Lowe,0.5,+115,0.5,−150,Runs Scored,OAK Athletics,TEX Rangers
87,Seth Brown,0.5,+150,0.5,−200,Runs Scored,OAK Athletics,TEX Rangers
88,Shea Langeliers,0.5,+145,0.5,−195,Runs Scored,OAK Athletics,TEX Rangers
89,Tyler Nevin,0.5,+150,0.5,−205,Runs Scored,OAK Athletics,TEX Rangers
90,Abraham Toro,1.5,+105,1.5,−140,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
91,Adolis Garcia,2.5,+120,2.5,−160,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
92,Brent Rooker,1.5,+110,1.5,−145,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
93,Brett Harris,0.5,−170,0.5,+125,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
94,Corey Seager,2.5,+120,2.5,−160,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
95,Darell Hernaiz,0.5,−180,0.5,+135,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
96,Evan Carter,1.5,+100,1.5,−135,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
97,Ezequiel Duran,1.5,−105,1.5,−125,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
98,JJ Bleday,1.5,+115,1.5,−155,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
99,Jonah Heim,1.5,−110,1.5,−120,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
100,Josh Smith,1.5,−105,1.5,−130,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
101,Lawrence Butler,0.5,−165,0.5,+125,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
102,Leody Taveras,1.5,−105,1.5,−125,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
103,Marcus Semien,1.5,−170,1.5,+125,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
104,Nathaniel Lowe,1.5,−135,1.5,+100,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
105,Seth Brown,1.5,+105,1.5,−140,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
106,Shea Langeliers,1.5,+110,1.5,−145,Hits + Runs + RBIs,OAK Athletics,TEX Rangers
