Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1161,1,Mar 28,TOR,@,TBR,W8-2,CG,5,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.250,.400,1.000,1.400,1,.60,0.095,.58,0.06%,0.51,18.00,24.90,RF
2,1162,2,Mar 29,TOR,@,TBR,L2-8,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.250,.333,1.000,1.333,1,.67,0.044,.71,0.03%,0.08,14.00,18.70,RF
3,1163,3,Mar 30,TOR,@,TBR,L1-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.167,.231,.667,.897,1,1.40,-0.167,1.39,-0.10%,-1.44,0.00,0.00,RF
4,1164,4,Mar 31,TOR,@,TBR,W9-2,CG,5,4,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.188,.278,.563,.840,1,.47,0.037,.45,0.02%,-0.60,9.00,12.40,DH
5,1165,5,Apr 1,TOR,@,HOU,L0-10,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.167,.318,.500,.818,1,.31,0.027,.30,0.02%,0.30,4.00,6.00,RF
6,1166,6,Apr 2,TOR,@,HOU,W2-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.136,.269,.409,.678,1,1.21,-0.130,1.08,-0.07%,-0.82,0.00,0.00,RF
7,1167,7,Apr 3,TOR,@,HOU,L0-8,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.120,.267,.360,.627,1,1.19,-0.021,1.09,-0.01%,-0.54,2.00,3.00,RF
8,1168,8,Apr 5,TOR,@,NYY,W3-0,CG,5,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.143,.314,.393,.707,1,.72,0.034,.66,0.02%,0.53,9.00,12.00,RF
9,1169,9,Apr 6,TOR,@,NYY,L8-9,CG,6,5,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.182,.341,.424,.766,1,.91,0.009,.90,0.01%,0.81,10.00,12.00,RF
10,1170,10,Apr 7,TOR,@,NYY,L3-8,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.184,.326,.395,.721,1,.96,0.034,.92,0.02%,0.14,5.00,6.20,DH
11,1171,11,Apr 8,TOR,,SEA,W5-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.300,.357,.657,1,.57,-0.056,.47,-0.03%,-0.83,0.00,0.00,RF
12,1172,12,Apr 9,TOR,,SEA,W5-3,CG,5,5,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,.191,.309,.362,.671,1,.60,0.093,.53,0.05%,0.20,15.00,19.00,RF
13,1173,13,Apr 10,TOR,,SEA,L1-6,CG(10),5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.176,.300,.333,.633,1,.96,-0.039,.86,-0.02%,-0.70,2.00,3.00,RF
14,1174,14,Apr 12,TOR,,COL,L4-12,GS-9,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.182,.297,.327,.624,1,.85,-0.081,.69,-0.04%,-0.61,3.00,3.00,RF
