,Unnamed: 0,players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm,hold,over_true_prob,under_true_prob
0,0,Alec Bohm,0.5,6.0,0.5,1.1,Home Runs,PHI Phillies,SF Giants,0.076,0.111,0.889
1,1,Blake Sabol,0.5,8.0,0.5,1.062,Home Runs,PHI Phillies,SF Giants,0.066,0.073,0.927
2,2,Brandon Marsh,0.5,6.5,0.5,1.091,Home Runs,PHI Phillies,SF Giants,0.071,0.101,0.899
3,3,Bryce Harper,0.5,3.9,0.5,1.235,Home Runs,PHI Phillies,SF Giants,0.066,0.213,0.787
4,4,Bryson Stott,0.5,8.5,0.5,1.056,Home Runs,PHI Phillies,SF Giants,0.065,0.066,0.934
5,5,Edmundo Sosa,0.5,7.5,0.5,1.062,Home Runs,PHI Phillies,SF Giants,0.075,0.075,0.925
6,6,J.T. Realmuto,0.5,4.5,0.5,1.182,Home Runs,PHI Phillies,SF Giants,0.068,0.176,0.824
7,7,Johan Rojas,0.5,10.5,0.5,1.029,Home Runs,PHI Phillies,SF Giants,0.067,0.038,0.962
8,8,Jorge Soler,0.5,4.3,0.5,1.2,Home Runs,PHI Phillies,SF Giants,0.066,0.188,0.812
9,9,Jung Hoo Lee,0.5,9.0,0.5,1.04,Home Runs,PHI Phillies,SF Giants,0.073,0.052,0.948
10,10,Kyle Schwarber,0.5,3.15,0.5,1.333,Home Runs,PHI Phillies,SF Giants,0.067,0.276,0.724
11,11,LaMonte Wade Jr.,0.5,6.5,0.5,1.091,Home Runs,PHI Phillies,SF Giants,0.071,0.101,0.899
12,12,Matt Chapman,0.5,5.0,0.5,1.143,Home Runs,PHI Phillies,SF Giants,0.075,0.147,0.853
13,13,Michael Conforto,0.5,6.0,0.5,1.1,Home Runs,PHI Phillies,SF Giants,0.076,0.111,0.889
14,14,Mike Yastrzemski,0.5,6.0,0.5,1.111,Home Runs,PHI Phillies,SF Giants,0.067,0.118,0.882
15,15,Nick Ahmed,0.5,11.0,0.5,1.02,Home Runs,PHI Phillies,SF Giants,0.071,0.029,0.971
16,16,Nick Castellanos,0.5,5.25,0.5,1.143,Home Runs,PHI Phillies,SF Giants,0.065,0.144,0.856
17,17,Thairo Estrada,0.5,8.5,0.5,1.05,Home Runs,PHI Phillies,SF Giants,0.07,0.062,0.938
18,18,Alec Bohm,1.5,2.7,1.5,1.426,Hits,PHI Phillies,SF Giants,0.072,0.328,0.672
19,19,Blake Sabol,0.5,1.833,0.5,1.909,Hits,PHI Phillies,SF Giants,0.069,0.511,0.489
20,20,Brandon Marsh,0.5,1.526,0.5,2.4,Hits,PHI Phillies,SF Giants,0.072,0.624,0.376
21,21,Bryce Harper,0.5,1.465,0.5,2.6,Hits,PHI Phillies,SF Giants,0.067,0.654,0.346
22,22,Bryson Stott,0.5,1.488,0.5,2.55,Hits,PHI Phillies,SF Giants,0.064,0.645,0.355
23,23,Edmundo Sosa,0.5,1.556,0.5,2.35,Hits,PHI Phillies,SF Giants,0.068,0.612,0.388
24,24,J.T. Realmuto,0.5,1.364,0.5,2.95,Hits,PHI Phillies,SF Giants,0.072,0.705,0.295
25,25,Johan Rojas,0.5,1.625,0.5,2.2,Hits,PHI Phillies,SF Giants,0.07,0.583,0.417
26,26,Jorge Soler,0.5,1.606,0.5,2.25,Hits,PHI Phillies,SF Giants,0.067,0.592,0.408
27,27,Jung Hoo Lee,1.5,3.0,1.5,1.357,Hits,PHI Phillies,SF Giants,0.07,0.291,0.709
28,28,Kyle Schwarber,0.5,1.541,0.5,2.35,Hits,PHI Phillies,SF Giants,0.075,0.616,0.384
29,29,LaMonte Wade Jr.,0.5,1.645,0.5,2.15,Hits,PHI Phillies,SF Giants,0.073,0.574,0.426
30,30,Matt Chapman,0.5,1.667,0.5,2.15,Hits,PHI Phillies,SF Giants,0.065,0.57,0.43
31,31,Michael Conforto,0.5,1.541,0.5,2.4,Hits,PHI Phillies,SF Giants,0.066,0.62,0.38
32,32,Mike Yastrzemski,0.5,1.833,0.5,1.909,Hits,PHI Phillies,SF Giants,0.069,0.511,0.489
33,33,Nick Ahmed,0.5,1.952,0.5,1.8,Hits,PHI Phillies,SF Giants,0.068,0.478,0.522
34,34,Nick Castellanos,0.5,1.455,0.5,2.6,Hits,PHI Phillies,SF Giants,0.072,0.657,0.343
