,Unnamed: 0,players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm,hold,over_true_prob,under_true_prob
0,0,Alec Bohm,0.5,6.5,0.5,1.1,Home Runs,PHI Phillies,SF Giants,0.063,0.107,0.893
1,1,Brandon Marsh,0.5,6.5,0.5,1.1,Home Runs,PHI Phillies,SF Giants,0.063,0.107,0.893
2,2,Bryce Harper,0.5,3.95,0.5,1.222,Home Runs,PHI Phillies,SF Giants,0.071,0.206,0.794
3,3,Bryson Stott,0.5,8.5,0.5,1.056,Home Runs,PHI Phillies,SF Giants,0.065,0.066,0.934
4,4,J.T. Realmuto,0.5,4.5,0.5,1.182,Home Runs,PHI Phillies,SF Giants,0.068,0.176,0.824
5,5,Jakson Reetz,0.5,7.0,0.5,1.083,Home Runs,PHI Phillies,SF Giants,0.066,0.093,0.907
6,6,Johan Rojas,0.5,11.0,0.5,1.025,Home Runs,PHI Phillies,SF Giants,0.067,0.034,0.966
7,7,Jung Hoo Lee,0.5,9.0,0.5,1.05,Home Runs,PHI Phillies,SF Giants,0.063,0.06,0.94
8,8,Kyle Schwarber,0.5,3.2,0.5,1.323,Home Runs,PHI Phillies,SF Giants,0.069,0.27,0.73
9,9,LaMonte Wade Jr.,0.5,6.5,0.5,1.091,Home Runs,PHI Phillies,SF Giants,0.071,0.101,0.899
10,10,Matt Chapman,0.5,5.0,0.5,1.143,Home Runs,PHI Phillies,SF Giants,0.075,0.147,0.853
11,11,Michael Conforto,0.5,6.0,0.5,1.111,Home Runs,PHI Phillies,SF Giants,0.067,0.118,0.882
12,12,Mike Yastrzemski,0.5,6.0,0.5,1.1,Home Runs,PHI Phillies,SF Giants,0.076,0.111,0.889
13,13,Nick Castellanos,0.5,5.25,0.5,1.143,Home Runs,PHI Phillies,SF Giants,0.065,0.144,0.856
14,14,Thairo Estrada,0.5,7.5,0.5,1.062,Home Runs,PHI Phillies,SF Giants,0.075,0.075,0.925
15,15,Tyler Fitzgerald,0.5,8.0,0.5,1.062,Home Runs,PHI Phillies,SF Giants,0.066,0.073,0.927
16,16,Whit Merrifield,0.5,9.5,0.5,1.04,Home Runs,PHI Phillies,SF Giants,0.067,0.051,0.949
17,17,Wilmer Flores (SF),0.5,7.0,0.5,1.083,Home Runs,PHI Phillies,SF Giants,0.066,0.093,0.907
18,18,Jakson Reetz,,,,,1st Home Run,PHI Phillies,SF Giants,,,
19,19,Thairo Estrada,,13.0,,1.005,1st Home Run,PHI Phillies,SF Giants,0.072,0.009,0.991
20,20,Tyler Fitzgerald,,,,,1st Home Run,PHI Phillies,SF Giants,,,
21,21,Wilmer Flores (SF),,13.0,,1.005,1st Home Run,PHI Phillies,SF Giants,0.072,0.009,0.991
22,22,Alec Bohm,1.5,2.8,1.5,1.4,Hits,PHI Phillies,SF Giants,0.071,0.315,0.685
23,23,Brandon Marsh,0.5,1.541,0.5,2.4,Hits,PHI Phillies,SF Giants,0.066,0.62,0.38
24,24,Bryce Harper,0.5,1.455,0.5,2.6,Hits,PHI Phillies,SF Giants,0.072,0.657,0.343
25,25,Bryson Stott,0.5,1.513,0.5,2.45,Hits,PHI Phillies,SF Giants,0.069,0.631,0.369
26,26,J.T. Realmuto,0.5,1.364,0.5,2.95,Hits,PHI Phillies,SF Giants,0.072,0.705,0.295
27,27,Jakson Reetz,0.5,2.1,0.5,1.69,Hits,PHI Phillies,SF Giants,0.068,0.44,0.56
28,28,Johan Rojas,0.5,1.606,0.5,2.25,Hits,PHI Phillies,SF Giants,0.067,0.592,0.408
29,29,Jung Hoo Lee,0.5,1.357,0.5,3.0,Hits,PHI Phillies,SF Giants,0.07,0.709,0.291
30,30,Kyle Schwarber,0.5,1.571,0.5,2.3,Hits,PHI Phillies,SF Giants,0.071,0.604,0.396
31,31,LaMonte Wade Jr.,0.5,1.625,0.5,2.2,Hits,PHI Phillies,SF Giants,0.07,0.583,0.417
32,32,Matt Chapman,0.5,1.645,0.5,2.15,Hits,PHI Phillies,SF Giants,0.073,0.574,0.426
33,33,Michael Conforto,0.5,1.571,0.5,2.3,Hits,PHI Phillies,SF Giants,0.071,0.604,0.396
